Thread,Baseline Read Access,Baseline Write Access,Baseline GC,Harp Read Access,Harp Write Access,Harp GC
18,304.31,12.78,4820,81.82,13.62,1359
24,481.09,37.50,7681,178.79,38.72,3028
30,669.64,79.37,10838,286.46,79.32,4987
36,879.86,137.17,14002,392.55,119.67,6883
