,Pacman Read Access,Pacman Write Access,Pacman GC,Harp Read Access,Harp Write Access,Harp GC
CCEH,0.83422,0.13260,12.730,0.39237,0.10916,5.987
CCEH-P,0.90834,0.11853,13.861,0.39353,0.10445,6.004
