,Baseline Read Access,Baseline Write Access,Baseline GC,Harp Read Access,Harp Write Access,Harp GC
CCEH,834.22,132.60,12730,392.37,109.16,5987
CCEH-P,908.34,118.53,13861,393.53,104.45,6004
