Thread,Baseline Read Access,Baseline Write Access,Baseline GC,Harp Read Access,Harp Write Access,Harp GC
32,638.11,63.50,7249,232.28,43.36,2779
64,612.44,48.36,11732,229.38,41.56,4327
128,609.37,50.18,21069,199.27,34.84,6842
256,614.29,59.58,39698,219.56,35.94,14240
512,608.63,54.17,78436,377.58,36.53,47634
