Thread,Baseline Read Access,Baseline Write Access,Baseline GC,Harp Read Access,Harp Write Access,Harp GC
100,834.22,132.60,12730,392.37,109.16,5987
200,908.34,118.53,13861,393.53,104.45,6004
400,1040.32,76.74,15875,371.40,63.75,5666
600,1211.75,60.29,18491,322.59,47.69,4922
